route_id,route_key,spacegroup,scaffold,scaffold_id,route_train_count,data_package,checkpoint
R064,sg1_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a,1,1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a,SG1|1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a,251,data,stage3/sg1_1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a_v1.pt
R065,sg1_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a,1,1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a,SG1|1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a,427,data,stage3/sg1_1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a_v1.pt
R066,sg1_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a,1,1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a,SG1|1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a,727,data,stage3/sg1_1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a_v1.pt
R067,sg1_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a,1,1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a,SG1|1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a,338,data,stage3/sg1_1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a_v1.pt
R068,sg1_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a,1,1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a,SG1|1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a,300,data,stage3/sg1_1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a_v1.pt
R069,sg1_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a,1,1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a,SG1|1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a,295,data,stage3/sg1_1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a_v1.pt
R070,sg1_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a,1,1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a,SG1|1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a,251,data,stage3/sg1_1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a_v1.pt
R071,sg1_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a,1,1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a,SG1|1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a,271,data,stage3/sg1_1a1a1a1a1a1a1a1a1a1a1a1a1a1a_v1.pt
R072,sg1_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a,1,1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a,SG1|1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a,357,data,stage3/sg1_1a1a1a1a1a1a1a1a1a1a1a1a1a_v1.pt
R073,sg1_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a,1,1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a,SG1|1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a,207,data,stage3/sg1_1a1a1a1a1a1a1a1a1a1a1a1a_v1.pt
R074,sg1_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a_1a,1,1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a,SG1|1a;1a;1a;1a;1a;1a;1a;1a;1a;1a;1a,229,data,stage3/sg1_1a1a1a1a1a1a1a1a1a1a1a_v1.pt
R075,sg2_2i_2i_2i_2i_2i_2i_2i_2i_2i_2i_2i_2i_2i_2i_2i_2i_2i_2i_2i_2i_2i_2i,2,2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i,SG2|2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i,116,data,stage3/sg2_2i2i2i2i2i2i2i2i2i2i2i2i2i2i2i2i2i2i2i2i2i2i_v1.pt
R076,sg2_2i_2i_2i_2i_2i_2i_2i_2i_2i_2i_2i_2i_2i_2i_2i_2i_2i_2i_2i_2i,2,2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i,SG2|2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i,110,data,stage3/sg2_2i2i2i2i2i2i2i2i2i2i2i2i2i2i2i2i2i2i2i2i_v1.pt
R077,sg2_2i_2i_2i_2i_2i_2i_2i_2i_2i_2i_2i_2i_2i_2i_2i_2i_2i_2i_2i,2,2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i,SG2|2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i,112,data,stage3/sg2_2i2i2i2i2i2i2i2i2i2i2i2i2i2i2i2i2i2i2i_v1.pt
R078,sg2_2i_2i_2i_2i_2i_2i_2i_2i_2i_2i_2i_2i_2i_2i_2i_2i_2i_2i,2,2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i,SG2|2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i,153,data,stage3/sg2_2i2i2i2i2i2i2i2i2i2i2i2i2i2i2i2i2i2i_v1.pt
R079,sg2_2i_2i_2i_2i_2i_2i_2i_2i_2i_2i_2i_2i_2i_2i_2i_2i,2,2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i,SG2|2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i,116,data,stage3/sg2_2i2i2i2i2i2i2i2i2i2i2i2i2i2i2i2i_v1.pt
R080,sg2_2i_2i_2i_2i_2i_2i_2i_2i_2i_2i_2i_2i_2i_2i_2i,2,2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i,SG2|2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i,138,data,stage3/sg2_2i2i2i2i2i2i2i2i2i2i2i2i2i2i2i_v1.pt
R081,sg2_2i_2i_2i_2i_2i_2i_2i_2i_2i_2i_2i_2i_2i_2i,2,2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i,SG2|2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i,210,data,stage3/sg2_2i2i2i2i2i2i2i2i2i2i2i2i2i2i_v1.pt
R082,sg2_2i_2i_2i_2i_2i_2i_2i_2i_2i_2i_2i_2i_2i,2,2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i,SG2|2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i,171,data,stage3/sg2_2i2i2i2i2i2i2i2i2i2i2i2i2i_v1.pt
R083,sg2_2i_2i_2i_2i_2i_2i_2i_2i_2i_2i_2i_2i,2,2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i,SG2|2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i,236,data,stage3/sg2_2i2i2i2i2i2i2i2i2i2i2i2i_v1.pt
R084,sg2_1c_1d_1f_1g_2i_2i_2i_2i_2i_2i_2i_2i,2,1c;1d;1f;1g;2i;2i;2i;2i;2i;2i;2i;2i,SG2|1c;1d;1f;1g;2i;2i;2i;2i;2i;2i;2i;2i,137,data,stage3/sg2_1c1d1f1g2i2i2i2i2i2i2i2i_v1.pt
R085,sg2_2i_2i_2i_2i_2i_2i_2i_2i_2i_2i_2i,2,2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i,SG2|2i;2i;2i;2i;2i;2i;2i;2i;2i;2i;2i,302,data,stage3/sg2_2i2i2i2i2i2i2i2i2i2i2i_v1.pt
R086,sg2_2i_2i_2i_2i_2i_2i_2i_2i_2i_2i,2,2i;2i;2i;2i;2i;2i;2i;2i;2i;2i,SG2|2i;2i;2i;2i;2i;2i;2i;2i;2i;2i,155,data,stage3/sg2_2i2i2i2i2i2i2i2i2i2i_v1.pt
R087,sg2_2i_2i_2i_2i_2i_2i_2i_2i_2i,2,2i;2i;2i;2i;2i;2i;2i;2i;2i,SG2|2i;2i;2i;2i;2i;2i;2i;2i;2i,166,data,stage3/sg2_2i2i2i2i2i2i2i2i2i_v1.pt
R088,sg2_2i_2i_2i_2i_2i_2i_2i_2i,2,2i;2i;2i;2i;2i;2i;2i;2i,SG2|2i;2i;2i;2i;2i;2i;2i;2i,126,data,stage3/sg2_2i2i2i2i2i2i2i2i_v1.pt
R089,sg2_2i_2i_2i_2i_2i_2i,2,2i;2i;2i;2i;2i;2i,SG2|2i;2i;2i;2i;2i;2i,124,data,stage3/sg2_2i2i2i2i2i2i_v1.pt
R090,sg14_4e_4e_4e_4e_4e_4e_4e_4e_4e_4e_4e_4e_4e_4e_4e_4e_4e_4e_4e_4e_4e_4e,14,4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e,SG14|4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e,149,data,stage3/sg14_4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e_v1_boltz_beta5_20260329.pt
R091,sg14_4e_4e_4e_4e_4e_4e_4e_4e_4e_4e_4e_4e_4e_4e_4e_4e_4e_4e_4e_4e_4e,14,4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e,SG14|4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e,124,data,stage3/sg14_4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e_v1_boltz_beta5_20260329.pt
R092,sg14_4e_4e_4e_4e_4e_4e_4e_4e_4e_4e_4e_4e_4e_4e_4e_4e_4e_4e_4e_4e,14,4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e,SG14|4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e;4e,183,data,stage3/sg14_4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e_v1.pt
